exposure_id,segment,country,stage,EAD,LGD,PD_12m,PD_lifetime,discount_rate,source,ECL_12m,ECL_lifetime
EXP-3DUT4S7A,Corporate,UK,2,747912.47,0.438,0.0324,0.0833,0.0911,fallback,10613.775444263998,27287.885632938
EXP-8DD22555,SME,IT,2,571469.02,0.2599,0.0497,0.0905,0.0958,fallback,7381.682475410601,13441.494245969001
EXP-VYB6LI07,Corporate,IT,1,3048721.14,0.215,0.0293,0.0394,0.0737,fallback,19205.41882143,25825.71677694
EXP-9IK01L0V,SME,DE,1,1561637.0,0.5371,0.0701,0.118,0.0809,fallback,58796.74181227,98973.1174586
EXP-SFLSE45B,SME,FR,1,3707314.55,0.5038,0.0707,0.1282,0.1086,fallback,132049.576469503,239444.91801117803
EXP-NQO7YIRQ,Retail,US,2,175024.51,0.2202,0.0352,0.0491,0.0911,fallback,1356.6219779904002,1892.3334977082
EXP-DAB42HHI,SME,FR,1,1727802.53,0.5351,0.0281,0.0863,0.0956,fallback,25979.7744598643,79788.4176471989
EXP-6XVAJ2K8,Corporate,UK,1,110061.26,0.5121,0.0637,0.0643,0.0797,fallback,3590.2830483702,3624.1004711177998
EXP-SWVA984U,SME,CN,2,4259415.0,0.3836,0.0253,0.0465,0.0698,fallback,41337.9633282,75976.889121
EXP-5JZ6KF16,Corporate,US,2,549441.61,0.2255,0.0792,0.124,0.0783,fallback,9812.807377956,15363.486298820002
EXP-JPNBZUG0,SME,FR,3,3406971.19,0.4885,0.0559,0.1257,0.0874,fallback,93034.6733310085,209203.1920877955
EXP-45GDEJ31,SME,FR,3,4533567.26,0.4687,0.0455,0.1047,0.113,fallback,96682.17535167099,222475.2474575814
EXP-2LJK4Q5V,Corporate,CN,1,455606.11,0.3421,0.0621,0.0836,0.0831,fallback,9679.0829993451,13030.1342793116
EXP-B4EHOU6Q,Retail,IT,3,2507382.1,0.547,0.0367,0.0576,0.0626,fallback,50335.444919290014,79000.58930112
EXP-AJ1G1R1D,Retail,CN,2,2443028.42,0.4524,0.0224,0.0668,0.0943,fallback,24757.0636814592,73829.1006214944
EXP-0861TAA0,SME,FR,3,2150836.99,0.391,0.0103,0.0477,0.1114,fallback,8662.065809827001,40114.615449393
EXP-3KK0VM59,SME,IT,2,653364.69,0.3534,0.0512,0.0629,0.0751,fallback,11822.0329700352,14523.552222953398
EXP-I9HASEZ2,Retail,ES,3,832768.71,0.5628,0.0668,0.0681,0.0679,fallback,31307.972963198397,31917.259862182793
EXP-4BEPEJZH,Corporate,UK,3,3119442.54,0.4376,0.0134,0.021,0.0507,fallback,18291.911943753603,28666.429165584002
EXP-E3DZEEDH,SME,FR,1,3311706.23,0.465,0.0289,0.0713,0.1082,fallback,44504.364171855,109797.964202535
EXP-6YRIADDU,Retail,ES,1,1796029.96,0.3639,0.0212,0.0596,0.1165,fallback,13855.7964118128,38953.0880256624
EXP-Q9JB354M,Corporate,UK,1,384490.59,0.4894,0.0733,0.1184,0.0798,fallback,13792.838624881802,22279.2918579264
EXP-XGMPW5D3,Retail,FR,1,484042.37,0.5033,0.0132,0.0728,0.0781,fallback,3215.7645276372,17735.4286069688
EXP-X2EZC7FO,SME,CN,2,1366447.12,0.3543,0.0695,0.1255,0.1062,fallback,33647.188915812,60758.59293430801
EXP-5506RR5P,Corporate,DE,1,2196432.4,0.4445,0.0645,0.1073,0.0958,fallback,62972.2660161,104758.51385314
EXP-U9YMSZDX,Retail,FR,2,3525795.2,0.4712,0.0637,0.1041,0.0742,fallback,105828.29427788802,172947.02408678402
EXP-WA7SQRF1,Corporate,IT,1,3210608.22,0.2595,0.0679,0.1303,0.0732,fallback,56571.077366811005,108559.81415162701
EXP-IQ2Q4QER,SME,UK,1,261250.07,0.2891,0.055,0.0832,0.0572,fallback,4154.006738035001,6283.8792837184
EXP-8W6UXQM3,SME,US,1,188801.34,0.4196,0.0678,0.1232,0.1091,fallback,5371.186665499199,9760.0324069248
EXP-ZE1HM38K,SME,CN,1,2805152.72,0.4479,0.0431,0.0891,0.0991,fallback,54152.0426317128,111947.72618296082
EXP-OJHE4H3G,Retail,IT,1,4485416.82,0.397,0.0675,0.1195,0.103,fallback,120197.95723395003,212794.90206603002
EXP-QX8ERTB7,Retail,US,2,4633866.39,0.535,0.0512,0.1053,0.0838,fallback,126930.86815488001,261051.180013845
EXP-3DXVL5PV,Corporate,UK,1,3907596.67,0.5641,0.0584,0.0706,0.0692,fallback,128729.6764423448,155621.83487721818
EXP-Z0KZ4Z7W,SME,FR,1,4852753.33,0.3811,0.0193,0.0482,0.0937,fallback,35693.1168754159,89140.3229738366
EXP-9GTWZ1UU,SME,UK,3,3436190.37,0.5685,0.0193,0.069,0.0792,fallback,37702.05254915851,134789.721548805
EXP-ADNBCJ29,Corporate,UK,1,4470391.35,0.4136,0.0714,0.101,0.0602,fallback,132015.305772504,186744.34009836
EXP-3D5050UI,Retail,US,3,3456068.3,0.3181,0.0628,0.0651,0.0701,fallback,69040.770487244,71569.333737573
EXP-Y8B0H54P,Corporate,FR,3,244429.61,0.3526,0.0392,0.0944,0.0993,fallback,3378.4865150511996,8135.947117878401
EXP-0GQ9C80E,Corporate,DE,2,1845028.19,0.4354,0.0617,0.0755,0.0695,fallback,49565.1694012342,60651.058181413006
EXP-ZFFLB7WX,SME,ES,2,659031.99,0.4336,0.0279,0.051,0.0885,fallback,7972.5999571056,14573.569814064
EXP-CSOTDHHL,Retail,IT,1,3922316.93,0.3271,0.0254,0.0383,0.0653,fallback,32587.942642196198,49138.5119368549
EXP-AYQ6WW8Y,Corporate,IT,2,2657189.49,0.5987,0.0677,0.1364,0.1141,fallback,107701.1778367851,216993.21502123322
EXP-3N2QB6GS,Retail,DE,1,1935520.91,0.4161,0.0298,0.0936,0.118,fallback,24000.0334693998,75382.6554609336
EXP-HY4H350P,Corporate,US,1,2670697.05,0.4508,0.0248,0.0689,0.1023,fallback,29857.96570747199,82952.17085664599
EXP-GJC36OQO,Retail,IT,1,128527.2,0.4867,0.0127,0.0178,0.0773,fallback,794.4381906479999,1113.464550672
EXP-VZC7D2KD,Retail,US,2,2678823.51,0.4566,0.0533,0.1062,0.0767,fallback,65193.9384216978,129898.61651752918
EXP-24KWK585,Corporate,UK,1,163787.57,0.2625,0.0254,0.0777,0.117,fallback,1092.053622975,3340.6522246125005
EXP-VT8K06MO,Retail,UK,2,2772085.7,0.422,0.0186,0.019,0.06,fallback,21758.655076439998,22226.5831426
EXP-24479QTK,Retail,DE,1,1111731.97,0.5339,0.0236,0.0363,0.0569,fallback,14007.8672912788,21545.999265822902
EXP-IKCGRLXY,Corporate,FR,2,2907172.31,0.5806,0.035,0.082,0.0897,fallback,59076.64851151001,138408.147941252
EXP-ZXJMYLRQ,SME,US,1,4793708.02,0.2675,0.0319,0.0869,0.0841,fallback,40905.908961664994,111433.338205915
EXP-FTJ5CCAS,Retail,DE,2,887093.1,0.4427,0.0689,0.129,0.0905,fallback,27058.140348993,50660.37888273
EXP-TXFO6V4E,Corporate,CN,2,1071675.82,0.2147,0.0282,0.0908,0.0563,fallback,6488.5041192228,20892.062908703203
EXP-WFSQG8X8,SME,UK,3,2515814.68,0.4651,0.0694,0.1259,0.0838,fallback,81205.31529215921,147316.27082540124
EXP-IYS2N75B,SME,UK,1,211694.93,0.5046,0.0262,0.0447,0.0572,fallback,2798.7170559636,4774.9103970066
EXP-UNNV6CJ9,Corporate,FR,2,3171499.24,0.3094,0.0619,0.1024,0.0784,fallback,60740.109434586404,100481.21496125442
EXP-FFCXHGNZ,SME,DE,3,2439439.2,0.3928,0.0523,0.0874,0.0661,fallback,50114.472838848,83747.70413222401
EXP-F4ABUFWB,SME,CN,1,3604075.74,0.3926,0.0435,0.0582,0.0539,fallback,61550.765895294004,82350.67988749681
EXP-W5038HVQ,SME,ES,1,4613009.88,0.4067,0.0384,0.1062,0.0654,fallback,72042.6669387264,199243.00075241522
EXP-XJ0MQVIN,SME,DE,1,3008185.18,0.5178,0.0674,0.0801,0.0642,fallback,104984.82049014962,124766.82672494042
EXP-6V5T1DX6,Corporate,CN,1,3424995.48,0.5306,0.0524,0.0648,0.1128,fallback,95226.6563284512,117761.2085893824
EXP-TI22NV01,Corporate,UK,2,3249666.36,0.4088,0.0359,0.0389,0.0568,fallback,47691.843526051205,51677.23434995519
EXP-VTJA0ASS,Retail,ES,3,1280044.96,0.5063,0.0737,0.0796,0.0644,fallback,47763.99445137759,51587.7063545408
EXP-JTUW9OHT,SME,CN,2,2050136.94,0.2426,0.0398,0.0808,0.0625,fallback,19795.0562214312,40186.9483088352
EXP-Z04X0QZF,Corporate,FR,2,2779007.67,0.3015,0.0315,0.0556,0.078,fallback,26392.9305939075,46585.61717527799
EXP-OW23QVDJ,SME,IT,1,4006260.13,0.4456,0.0579,0.0615,0.0926,fallback,103362.4728564312,109789.155106572
EXP-ZV83XPHX,Corporate,US,2,1927786.79,0.5938,0.053,0.0895,0.07,fallback,60670.149182805995,102452.421733229
EXP-YMX9DJOY,Retail,ES,2,3921957.63,0.4042,0.0589,0.102,0.064,fallback,93371.5356413094,161696.037952692
EXP-36M8JVH7,Retail,CN,1,3687258.45,0.2274,0.0163,0.0362,0.0683,fallback,13667.265915938999,30353.069089386005
EXP-ESJT2JPN,SME,ES,1,2536128.1,0.4235,0.0452,0.069,0.103,fallback,48547.07131582,74109.46727415001
EXP-JN2HZ2OM,SME,CN,1,3411157.42,0.5586,0.0703,0.104,0.0991,fallback,133954.7191972836,198169.14362044798
EXP-C7RM6J8Y,SME,FR,2,1248805.47,0.2372,0.0572,0.1147,0.1016,fallback,16943.5928080848,33976.050613414794
EXP-IWFD7YXW,Retail,US,2,3679791.04,0.5491,0.0245,0.0387,0.1171,fallback,49504.04487156801,78196.1851644768
EXP-UJG1SO1E,SME,CN,2,1862270.71,0.3262,0.0729,0.1346,0.0835,fallback,44284.760238385796,81765.8261740292
EXP-QESLAYND,Corporate,IT,2,172487.61,0.3389,0.0702,0.1245,0.1103,fallback,4103.614782235799,7277.778353110499
EXP-NRHZN4KG,Retail,FR,2,2747331.37,0.2949,0.043,0.0859,0.098,fallback,34838.084903559,69595.1510050167
EXP-H20RAPE6,Retail,UK,2,3606869.14,0.5216,0.0489,0.1088,0.0874,fallback,91997.6699334336,204690.1122445312
EXP-OYC3RWQM,SME,IT,1,3928811.35,0.32,0.0493,0.089,0.0892,fallback,61980.92785759999,111892.547248
EXP-VUXT9KLS,SME,US,3,1727259.98,0.3647,0.0346,0.0822,0.0813,fallback,21795.6373288276,51780.3869488332
EXP-G3MWU4CF,Retail,FR,1,1911544.28,0.3146,0.0542,0.0643,0.0722,fallback,32594.3532124496,38668.208700378396
EXP-270SQG4E,SME,FR,3,3555063.09,0.4422,0.0377,0.0998,0.0676,fallback,59266.2434696046,156890.48006012038
EXP-C5TAO1CJ,Corporate,FR,1,3506477.67,0.232,0.0217,0.0289,0.0958,fallback,17653.011181848,23510.231481816
EXP-E4BX4LR9,SME,CN,1,1553759.56,0.299,0.0299,0.0738,0.0884,fallback,13890.765842355999,34285.569202872
EXP-WWUSXLMT,Retail,US,1,4848015.9,0.479,0.0224,0.0642,0.0809,fallback,52017.27140064,149085.21535362
EXP-1EKTYR1K,SME,US,2,2066896.99,0.2623,0.0107,0.0473,0.1059,fallback,5800.973761103899,25643.5569065621
EXP-UOF0ONJP,Corporate,FR,2,1163764.81,0.2029,0.0362,0.065,0.1035,fallback,8547.829254153801,15348.312196685
EXP-3O4GKWWJ,Corporate,CN,2,4039798.95,0.4739,0.0299,0.0819,0.0631,fallback,57242.3755999095,156794.33316496952
EXP-KEPADAHP,Retail,US,2,769225.03,0.5879,0.0115,0.0796,0.1199,fallback,5200.6150440755,35997.3006529052
EXP-FJOTG6JN,SME,DE,1,3487704.67,0.2127,0.0156,0.0681,0.1182,fallback,11572.622619620399,50518.948743342895
EXP-BQ1S9RYL,Corporate,IT,1,1252322.18,0.5085,0.041,0.0926,0.094,fallback,26109.038969729998,58968.21972187799
EXP-KMBY9IPA,Retail,US,1,3726175.65,0.4198,0.0185,0.0522,0.0909,fallback,28938.597950594998,81653.773676814
EXP-RVNDFDW7,SME,US,3,3947827.46,0.2036,0.0129,0.0677,0.0542,fallback,10368.7319540424,54415.74831695119
EXP-I9212PGY,SME,IT,3,3226428.73,0.4805,0.0654,0.0742,0.0594,fallback,101389.554911631,115032.186153563
EXP-GGM0J36T,Retail,DE,2,2431657.64,0.375,0.0306,0.0794,0.0609,fallback,27903.271419,72402.60623100001
EXP-S05WNWLC,SME,CN,2,4098898.57,0.4166,0.0418,0.0961,0.0633,fallback,71377.72783015159,164100.46996357822
EXP-XDSC4E5H,Corporate,ES,1,2492770.31,0.4206,0.0529,0.0755,0.0569,fallback,55463.4912772194,79158.669025143
EXP-VBHZA7X7,Corporate,US,1,3212340.82,0.3554,0.0443,0.088,0.0828,fallback,50575.800585060395,100466.60161366398
EXP-NZ3JBCK8,Corporate,CN,1,312893.94,0.4232,0.0757,0.1048,0.0571,fallback,10023.9453563856,13877.271774758401
EXP-WG0ODWMQ,Retail,UK,2,2662988.65,0.2758,0.0468,0.0642,0.1118,fallback,34372.366220556,47151.83571281399
EXP-TV76T94O,Retail,UK,2,3964383.37,0.42,0.0453,0.0913,0.1078,fallback,75426.35799762,152018.24470602
EXP-7J8QO09V,SME,CN,1,3045982.72,0.4253,0.025,0.0786,0.1195,fallback,32386.411270400007,101822.87703413761
EXP-1737SUUD,SME,ES,1,42778.46,0.5938,0.025,0.047,0.0609,fallback,635.0462387000001,1193.886928756
EXP-DO7002G3,SME,UK,3,1841743.64,0.4329,0.0263,0.0831,0.0903,fallback,20968.7486121828,66254.86728792358
EXP-CC1M3O55,Retail,FR,3,2980203.7,0.3202,0.0612,0.1015,0.0957,fallback,58400.786954088006,96857.51431111
EXP-SLULZFY9,Corporate,ES,2,4643979.3,0.4536,0.0543,0.0581,0.0903,fallback,114383.439269064,122388.173508888
EXP-CUBODS1E,Retail,FR,2,1118207.28,0.3159,0.0376,0.0469,0.0892,fallback,13281.887158675201,16567.0347803688
EXP-SIJPYUEO,SME,IT,1,1982640.83,0.4285,0.0493,0.1191,0.0633,fallback,41883.3866657915,101182.7860425105
EXP-W9PFB3HN,SME,US,3,2973446.97,0.2097,0.0313,0.1004,0.1097,fallback,19516.546266761703,62602.595692743605
EXP-3KM2KQL0,Retail,FR,1,3700512.33,0.2972,0.0535,0.0638,0.0882,fallback,58838.886149466,70166.7464735688
EXP-YN6SJCHZ,SME,IT,1,2748512.27,0.4492,0.0795,0.1282,0.0825,fallback,98153.22107887799,158279.78543788882
EXP-MDK5N9SZ,Retail,IT,2,342322.98,0.4641,0.0564,0.1203,0.1107,fallback,8960.3861590152,19112.3130306654
EXP-ZB7KR0AY,Corporate,IT,3,449223.14,0.2796,0.0777,0.1169,0.0712,fallback,9759.336778648802,14682.966144453603
EXP-9978IMOE,Corporate,UK,2,1386632.61,0.2248,0.028,0.0551,0.0865,fallback,8728.020300384,17175.497091112804
EXP-F86LTHET,Corporate,US,1,3066117.48,0.4502,0.0259,0.0427,0.1104,fallback,35751.4817179464,58941.6320214792
EXP-61XUFCTZ,SME,FR,1,3445775.13,0.5595,0.0737,0.1038,0.1088,fallback,142087.0543518195,200117.181027393
EXP-OP767J2D,Retail,FR,1,3638126.87,0.5062,0.0716,0.1006,0.1034,fallback,131859.97922613038,185266.9540523564
EXP-IAC2E4QX,Corporate,FR,2,3088563.06,0.4422,0.0529,0.0946,0.0844,fallback,72248.8407534828,129201.1405534872
EXP-78IYHHG8,Retail,ES,2,827294.01,0.2905,0.0386,0.1064,0.0843,fallback,9276.695922333,25570.996013892
EXP-V3ZO7UTX,SME,UK,1,4335206.78,0.555,0.0399,0.0942,0.0864,fallback,96000.98653971001,226648.94566518004
EXP-T9BN18GP,SME,IT,1,2289933.12,0.5511,0.0714,0.0886,0.0823,fallback,90105.52496964482,111811.6178194752
EXP-QXDSGV6T,SME,ES,2,1479154.43,0.5676,0.0583,0.1216,0.0726,fallback,48946.81757548439,102091.47542330879
EXP-QJY62ZEE,Retail,ES,3,902604.11,0.4361,0.0599,0.074,0.0754,fallback,23578.1765770229,29128.298275454
EXP-FTBGM55F,Corporate,FR,1,3539322.8,0.4907,0.0783,0.1211,0.1038,fallback,135987.188150268,210319.90402295598
EXP-WEEHWJQ4,Retail,CN,1,2103712.64,0.3238,0.0638,0.095,0.0926,fallback,43459.4213506816,64712.30451904
EXP-CVITWU3B,SME,FR,1,1197012.99,0.4355,0.0433,0.072,0.0957,fallback,22572.2535043785,37533.53931443999
EXP-LDD9FKXZ,Retail,CN,2,735418.34,0.213,0.0505,0.0927,0.0624,fallback,7910.527374210001,14520.908665133999
EXP-L6314CQE,SME,US,1,3749180.7,0.3441,0.0125,0.0663,0.073,fallback,16126.163485875004,85533.171129081
EXP-0W9RY79K,SME,CN,1,2627984.58,0.4783,0.0528,0.0605,0.0682,fallback,66367.7532996192,76046.383989147
EXP-SWRGVZ9A,Corporate,DE,2,4975171.43,0.3415,0.0191,0.0585,0.0938,fallback,32451.301927889497,99392.7310356825
EXP-BM3HXYJC,Retail,IT,2,3689967.19,0.2829,0.0531,0.0821,0.0885,fallback,55430.65022850809,85703.5100519871
EXP-83G47RRB,Retail,FR,2,578045.45,0.3333,0.0377,0.0775,0.0609,fallback,7263.378077884498,14931.347507587498
EXP-O04K0LTH,SME,UK,1,4461371.05,0.4148,0.0335,0.0884,0.106,fallback,61994.31983659001,163590.98130013602
EXP-NTFVGE2L,SME,US,1,340403.08,0.2597,0.0689,0.0926,0.0997,fallback,6090.944643456401,8186.0881565176005
EXP-8HKE226P,SME,DE,2,2075209.14,0.3988,0.0266,0.0582,0.1133,fallback,22013.984573851198,48165.9361728624
EXP-1F537YE0,Retail,ES,2,959156.28,0.5695,0.0613,0.098,0.1,fallback,33484.481439498,53531.47114308
EXP-5L6D10A1,Corporate,UK,1,588021.58,0.3244,0.0131,0.0725,0.0725,fallback,2498.8800272312,13829.679540019999
EXP-JFE8UDTT,Retail,IT,1,1439971.21,0.4129,0.0641,0.1111,0.116,fallback,38111.5596182369,66056.0729108599
EXP-TBB6BNDO,SME,UK,2,2874673.88,0.2685,0.0318,0.0943,0.1124,fallback,24544.827989604,72785.449038354
EXP-3ZYT91QE,Corporate,US,3,4182510.27,0.4797,0.0531,0.075,0.0828,fallback,106537.19437315891,150476.263238925
EXP-8F6JNG7L,SME,US,1,1558854.51,0.4578,0.0637,0.0966,0.0817,fallback,45459.0969809886,68937.9712458948
EXP-KMUSOZDU,Retail,DE,1,336172.34,0.2452,0.0435,0.1027,0.0873,fallback,3585.681412908,8465.505312773601
EXP-RCHYP9UM,SME,UK,1,2956774.42,0.2954,0.0271,0.0382,0.0621,fallback,23669.9845354028,33365.070452117594
EXP-VQT3G8CD,Corporate,US,2,398693.07,0.5723,0.0502,0.0843,0.104,fallback,11454.236606842202,19234.9033059123
EXP-FU131XQK,SME,CN,2,1643767.13,0.458,0.0143,0.0295,0.0813,fallback,10765.688441222,22208.937693429998
EXP-K7P9MDA9,Retail,ES,1,3410768.77,0.3266,0.0499,0.1138,0.1097,fallback,55586.4583060718,126768.3157360916
EXP-3M55IZOL,Retail,ES,2,1852422.24,0.4196,0.0137,0.0629,0.0767,fallback,10648.686295084799,48890.68379276159
EXP-4MPK5EAX,Corporate,FR,3,1063968.21,0.2694,0.0197,0.0586,0.1119,fallback,5646.670804747799,16796.695896356396
EXP-OQ2VPGST,Corporate,ES,2,2189308.23,0.5961,0.0159,0.0609,0.0749,fallback,20750.241510857697,79477.34012649271
EXP-ZJ7UBBRN,Retail,CN,2,2129611.57,0.203,0.0449,0.0961,0.1173,fallback,19410.770577079,41545.101391031
EXP-2QC6DR08,Retail,DE,3,719016.52,0.4925,0.0789,0.1478,0.0944,fallback,27939.72368829,52338.29101558
EXP-QSQ0P82K,Corporate,DE,3,1569373.61,0.2211,0.034,0.0885,0.1146,fallback,11797.609175814001,30708.482707633502
EXP-UUXK0ARE,Corporate,DE,1,1527313.51,0.514,0.0282,0.0723,0.0676,fallback,22138.103864747998,56758.330121322004
EXP-GVFQ3JZR,Corporate,US,2,1412049.94,0.5431,0.011,0.0188,0.1103,fallback,8435.727546553999,14417.425261383201
EXP-41ONX0GU,SME,US,1,4920517.57,0.5869,0.0517,0.1092,0.0538,fallback,149301.9360867661,315353.4123921636
EXP-K01TNZRF,SME,US,2,3779864.82,0.2464,0.0217,0.0496,0.0508,fallback,20210.483608761602,46195.3911057408
EXP-DTM4VXJJ,SME,US,1,1916200.43,0.3263,0.0471,0.114,0.0679,fallback,29449.567034553897,71279.206835226
EXP-VHMYGTY3,Corporate,DE,2,1961857.28,0.5093,0.0624,0.1138,0.0568,fallback,62348.452152729595,113705.99126571519
EXP-BWCV6HVE,Retail,DE,1,3430642.77,0.3406,0.0608,0.0784,0.11,fallback,71043.39718968961,91608.5911130208
EXP-GDGKXCQ9,Retail,US,2,1886032.62,0.5055,0.0554,0.1116,0.0985,fallback,52817.777713314,106398.267018156
EXP-1NLC8JPR,Corporate,FR,2,3851703.74,0.3294,0.0213,0.0265,0.0775,fallback,27024.4008146628,33621.907116834
EXP-X6ZDCUJQ,Corporate,ES,1,2465365.9,0.2575,0.0638,0.0791,0.0957,fallback,40502.26368814999,50215.188992675
EXP-6US7RP42,Retail,US,1,4665139.68,0.4658,0.0287,0.0777,0.0878,fallback,62365.73320649279,168843.8142907488
EXP-T9MKB9XN,Retail,US,1,1928275.13,0.4757,0.0646,0.0731,0.0556,fallback,59256.3189654286,67053.20303982709
EXP-8XKODYR5,SME,ES,3,3804660.87,0.316,0.0242,0.063,0.0633,fallback,29095.002605063997,75743.18859996
EXP-CTLT4Q9B,Retail,DE,1,973532.67,0.4879,0.0515,0.0857,0.1051,fallback,24461.809369189497,40706.3507366901
EXP-75T0IC0R,Retail,DE,2,2033484.2,0.2847,0.0558,0.0924,0.1135,fallback,32304.458707092,53493.404740776
EXP-BL2QGV3D,Corporate,ES,2,238550.45,0.4805,0.0191,0.0312,0.1059,fallback,2189.3086823974995,3576.25292622
EXP-0OEYTL8H,Retail,DE,2,324919.46,0.2811,0.0336,0.0921,0.0621,fallback,3068.8513029216,8411.940624972602
EXP-TP7BD4W1,Retail,DE,2,612519.99,0.2565,0.0391,0.0878,0.0557,fallback,6143.0548577085,13794.378938793001
EXP-O31YHXSO,Retail,FR,2,905270.15,0.2357,0.0556,0.1177,0.0984,fallback,11863.492894137999,25113.9049215835
EXP-2MAIETDN,Corporate,US,2,908202.33,0.4,0.0765,0.1204,0.0855,fallback,27790.991297999997,43739.024212799995
EXP-2Y8RGYBX,SME,IT,1,3853953.1,0.4637,0.0293,0.0429,0.0804,fallback,52361.386937371004,76665.648450963
EXP-BTFBSCIQ,SME,CN,1,3087928.56,0.556,0.0417,0.049,0.0793,fallback,71594.241249312,84127.52568864002
EXP-D05NHQR6,Corporate,FR,1,3387494.2,0.3303,0.0645,0.0873,0.115,fallback,72168.36205977,97679.038880898
EXP-MJMBUKDQ,SME,ES,1,898523.22,0.3494,0.042,0.0556,0.1032,fallback,13185.648548856,17455.287126580795
EXP-WG84D4R9,Retail,CN,2,4433180.77,0.4415,0.0653,0.11,0.1086,fallback,127808.37994006148,215297.42409504997
EXP-PI7866PB,SME,ES,3,82374.25,0.3712,0.0711,0.0884,0.1038,fallback,2174.0475657599995,2703.03522944
EXP-DRC1YOHM,Retail,FR,3,2134231.24,0.3577,0.0667,0.1155,0.1199,fallback,50919.74812035161,88174.37643029401
EXP-0AQ15O2N,Retail,ES,3,2404116.93,0.3219,0.0592,0.1193,0.0943,fallback,45814.006194206406,92324.50910420311
EXP-PJ8T22C5,Corporate,UK,1,362785.97,0.5574,0.0333,0.0356,0.086,fallback,6733.822759277401,7198.921628536799
EXP-BNXZU1EM,Corporate,CN,1,1826312.71,0.2206,0.0368,0.0694,0.0954,fallback,14826.1526847968,27960.190117524402
EXP-0IMJYJCM,Corporate,ES,2,4696348.18,0.432,0.0771,0.0918,0.0869,fallback,156422.208100896,186245.897583168
EXP-QNYY95G5,Retail,DE,1,2356117.61,0.4128,0.0678,0.1308,0.0773,fallback,65942.64268986239,127216.7797025664
EXP-ZR5SWK8T,Retail,FR,2,1448979.71,0.5827,0.0177,0.037,0.0743,fallback,14944.4724432009,31239.857649628997
EXP-24SMUX2R,SME,UK,3,3691169.13,0.2086,0.0232,0.0247,0.0871,fallback,17863.486828017598,19018.4536487946
EXP-GJR81BMQ,Corporate,FR,2,2231828.96,0.3216,0.0192,0.0745,0.1147,fallback,13780.9189158912,53472.836418431994
EXP-62FE9UPN,Corporate,FR,2,2681230.26,0.2729,0.0223,0.0719,0.0995,fallback,16317.082556374196,52609.7863588926
EXP-FK7ORFQL,Corporate,DE,3,1591549.38,0.3375,0.0361,0.0739,0.0882,fallback,19391.039758575,39695.230973925
EXP-79UFU6PY,Corporate,UK,2,1663090.42,0.4822,0.0432,0.0635,0.113,fallback,34643.903062636804,50923.329733274004
EXP-HMLVHS21,Retail,FR,1,3393261.6,0.2468,0.0117,0.0549,0.0559,fallback,9798.246465696,45976.387262112
EXP-RVSCYOZP,SME,ES,1,3388546.31,0.583,0.0783,0.1059,0.0509,fallback,154683.411650559,209207.83261550698
EXP-0P92K38P,SME,ES,1,1763261.62,0.591,0.0712,0.0773,0.1085,fallback,74196.638360304,80553.37282656599
EXP-9C81DO6O,Corporate,CN,2,439529.09,0.2831,0.0432,0.1039,0.0997,fallback,5375.405608372801,12928.348210878103
EXP-3KVR0I2F,Retail,IT,3,1004295.23,0.5329,0.0303,0.0646,0.1084,fallback,16216.224520430102,34573.20475312821
EXP-6XB1R8VN,SME,ES,2,629642.85,0.4664,0.0301,0.0427,0.0805,fallback,8839.329299724,12539.513657747999
EXP-SU4FCL5E,SME,FR,1,3143700.28,0.3904,0.0586,0.067,0.0691,fallback,71919.8145336832,82229.139483904
EXP-XCGW1VGL,SME,IT,3,3184873.2,0.5821,0.0134,0.0338,0.106,fallback,24842.456842248,62662.31651253599
EXP-3ASNRM6D,SME,FR,2,3430364.16,0.4753,0.0167,0.0573,0.0655,fallback,27228.5498236416,93424.9044847104
EXP-4ZZ2P6EE,Retail,DE,2,3977582.62,0.4235,0.0583,0.125,0.0744,fallback,98206.71376693099,210563.27994625
EXP-1MZB3I4F,Corporate,FR,1,1819217.14,0.5268,0.0723,0.1141,0.0588,fallback,69289.68751014961,109349.28554506319
EXP-ARPHBXVQ,Retail,IT,1,4905736.74,0.3699,0.0634,0.0712,0.0546,fallback,115047.6700759884,129201.79983297121
EXP-VHYBF0JU,Corporate,IT,1,61259.26,0.2386,0.0187,0.0608,0.1099,fallback,273.3277914532,888.6807337088001
EXP-1TZ8G1A0,Corporate,FR,2,3068652.58,0.402,0.0148,0.0722,0.1096,fallback,18257.255389968002,89065.799942952
EXP-GMNHIE9E,SME,DE,2,1838650.5,0.4358,0.0408,0.1078,0.0595,fallback,32692.382626320006,86378.40311562
EXP-EKVL9PTK,SME,US,2,3526607.27,0.4229,0.0128,0.0358,0.0632,fallback,19089.9483453824,53392.1992784914
EXP-AYYOSYEO,Retail,UK,2,4474825.69,0.521,0.0757,0.1014,0.1184,fallback,176485.78276589303,236402.35630728604
EXP-MV9E40KZ,Corporate,CN,2,4627198.67,0.5911,0.0145,0.0828,0.0691,fallback,39659.4884406365,226469.35468170358
EXP-9SFQERI7,Corporate,DE,1,4716693.04,0.3424,0.0567,0.1232,0.1016,fallback,91570.2560140032,198967.4698575872
EXP-LKW1XSRQ,Retail,IT,3,2495693.19,0.2107,0.0225,0.0648,0.0849,fallback,11831.4574904925,34074.5975726184
